"Region","Total Cases","Confirmed Cases","Presumptive Cases","Deaths"
"North","3","3","0","0"
"Central (excluding Saskatoon)","8","7","1","0"
"Saskatoon","30","30","0","0"
"South (excluding Regina)","5","5","0","0"
"Regina","20","20","0","0"
"Total Saskatchewan","66","65","1","0"
