Date,Region,"Inpatient Hospitalizations","ICU Hospitalizations"
2020/04/13,Saskatoon,6,0
2020/04/13,"South (excluding Regina)",0,0
2020/04/13,Regina,1,0
2020/04/13,Total,8,0
2020/04/14,"Far North",0,0
2020/04/14,North,1,0
2020/04/14,"Central (excluding Saskatoon)",0,0
2020/04/14,Saskatoon,5,0
2020/04/14,"South (excluding Regina)",0,0
2020/04/14,Regina,1,0
2020/04/14,Total,7,0
2020/04/15,"Far North",0,0
2020/04/15,North,1,0
2020/04/15,"Central (excluding Saskatoon)",0,0
2020/04/15,Saskatoon,4,0
2020/04/15,"South (excluding Regina)",0,0
2020/04/15,Regina,3,0
2020/04/15,Total,8,0
2020/04/16,"Far North",0,0
2020/04/16,North,1,0
2020/04/16,"Central (excluding Saskatoon)",0,0
2020/04/16,Saskatoon,2,0
2020/04/16,"South (excluding Regina)",0,0
2020/04/16,Regina,4,0
2020/04/16,Total,7,0
2020/04/17,"Far North",0,0
2020/04/17,North,0,0
2020/04/17,"Central (excluding Saskatoon)",0,0
2020/04/17,Saskatoon,2,0
2020/04/17,"South (excluding Regina)",0,0
2020/04/17,Regina,3,1
2020/04/17,Total,5,1
2020/04/18,"Far North",0,0
2020/04/18,North,0,0
2020/04/18,"Central (excluding Saskatoon)",0,0
2020/04/18,Saskatoon,2,0
2020/04/18,"South (excluding Regina)",0,0
2020/04/18,Regina,2,1
2020/04/18,Total,4,1
2020/04/19,"Far North",0,0
2020/04/19,North,0,0
2020/04/19,"Central (excluding Saskatoon)",0,0
2020/04/19,Saskatoon,2,0
2020/04/19,"South (excluding Regina)",0,0
2020/04/19,Regina,1,1
2020/04/19,Total,3,1
2020/04/20,"Far North",0,0
2020/04/20,North,0,0
2020/04/20,"Central (excluding Saskatoon)",0,0
2020/04/20,Saskatoon,2,0
2020/04/20,"South (excluding Regina)",0,0
2020/04/20,Regina,1,1
2020/04/20,Total,3,1
2020/04/21,"Far North",0,0
2020/04/21,North,1,0
2020/04/21,"Central (excluding Saskatoon)",0,0
2020/04/21,Saskatoon,2,0
2020/04/21,"South (excluding Regina)",0,0
2020/04/21,Regina,1,1
2020/04/21,Total,4,1
2020/04/22,"Far North",0,0
2020/04/22,North,1,0
2020/04/22,"Central (excluding Saskatoon)",0,0
2020/04/22,Saskatoon,1,1
2020/04/22,"South (excluding Regina)",0,0
2020/04/22,Regina,2,0
2020/04/22,Total,4,1
2020/04/23,"Far North",0,0
2020/04/23,North,1,0
2020/04/23,"Central (excluding Saskatoon)",0,0
2020/04/23,Saskatoon,2,1
2020/04/23,"South (excluding Regina)",0,0
2020/04/23,Regina,2,0
2020/04/23,Total,5,1
2020/04/24,"Far North",0,0
2020/04/24,North,1,0
2020/04/24,"Central (excluding Saskatoon)",0,0
2020/04/24,Saskatoon,1,2
2020/04/24,"South (excluding Regina)",0,0
2020/04/24,Regina,1,0
2020/04/24,Total,3,2
2020/04/25,"Far North",0,0
2020/04/25,North,1,0
2020/04/25,"Central (excluding Saskatoon)",0,0
2020/04/25,Saskatoon,1,2
2020/04/25,"South (excluding Regina)",0,0
2020/04/25,Regina,0,0
2020/04/25,Total,2,2
