"Region","Total Cases","Confirmed Cases","Presumptive Cases","Deaths"
"North","3","2","1","0"
"Central (excluding Saskatoon)","4","0","4","0"
"Saskatoon","21","17","4","0"
"South (excluding Regina)","5","3","2","0"
"Regina","19","11","8","0"
"Total Saskatchewan","52","33","19","0"
