"Region","Total Cases","Confirmed Cases","Presumptive Cases","Deaths"
"North","3","3","0","0"
"Central (excluding Saskatoon)","8","8","0","0"
"Saskatoon","34","34","0","0"
"South (excluding Regina)","5","5","0","0"
"Regina","22","22","0","0"
"Total Saskatchewan","72","72","0","0"
