"fit","lwr","upr","fcastday","Date"
193,193,193,2020-04-10,2020-04-01
206,206,206,2020-04-10,2020-04-02
220,220,220,2020-04-10,2020-04-03
231,231,231,2020-04-10,2020-04-04
249,249,249,2020-04-10,2020-04-05
253,253,253,2020-04-10,2020-04-06
260,260,260,2020-04-10,2020-04-07
278,278,278,2020-04-10,2020-04-09
285,285,285,2020-04-10,2020-04-10
306,296,316,2020-04-10,2020-04-11
321,310,334,2020-04-10,2020-04-12
338,324,352,2020-04-10,2020-04-13
355,339,372,2020-04-10,2020-04-14
373,354,393,2020-04-10,2020-04-15
392,370,415,2020-04-10,2020-04-16
412,387,438,2020-04-10,2020-04-17
433,405,462,2020-04-10,2020-04-18
454,423,488,2020-04-10,2020-04-19
477,442,516,2020-04-10,2020-04-20
502,462,545,2020-04-10,2020-04-21
1,1,1,2020-04-11,2020-03-12
2,2,2,2020-04-11,2020-03-13
6,6,6,2020-04-11,2020-03-14
6,6,6,2020-04-11,2020-03-15
7,7,7,2020-04-11,2020-03-16
8,8,8,2020-04-11,2020-03-17
16,16,16,2020-04-11,2020-03-18
20,20,20,2020-04-11,2020-03-19
26,26,26,2020-04-11,2020-03-20
44,44,44,2020-04-11,2020-03-21
52,52,52,2020-04-11,2020-03-22
66,66,66,2020-04-11,2020-03-23
72,72,72,2020-04-11,2020-03-24
86,86,86,2020-04-11,2020-03-25
95,95,95,2020-04-11,2020-03-26
104,104,104,2020-04-11,2020-03-27
134,134,134,2020-04-11,2020-03-28
156,156,156,2020-04-11,2020-03-29
176,176,176,2020-04-11,2020-03-30
184,184,184,2020-04-11,2020-03-31
193,193,193,2020-04-11,2020-04-01
206,206,206,2020-04-11,2020-04-02
220,220,220,2020-04-11,2020-04-03
231,231,231,2020-04-11,2020-04-04
249,249,249,2020-04-11,2020-04-05
253,253,253,2020-04-11,2020-04-06
260,260,260,2020-04-11,2020-04-07
278,278,278,2020-04-11,2020-04-09
285,285,285,2020-04-11,2020-04-10
289,289,289,2020-04-11,2020-04-11
313,301,325,2020-04-11,2020-04-12
327,313,342,2020-04-11,2020-04-13
342,325,360,2020-04-11,2020-04-14
358,338,379,2020-04-11,2020-04-15
375,352,399,2020-04-11,2020-04-16
392,366,420,2020-04-11,2020-04-17
410,381,442,2020-04-11,2020-04-18
429,396,465,2020-04-11,2020-04-19
449,412,489,2020-04-11,2020-04-20
470,428,515,2020-04-11,2020-04-21
